,CarData Element,Description,Category,Name,,,Technical descriptor,Data type,Typical value range,Unit,Streamable,,,,,
133,Status information about the last transfer of OBFCM* values,"This value indicates the status information about the last transfer of OBFCM* values performed in a workshop (i.e. wired). (OK for a valid transfer where the OBFCM values have been updated, ECU_COMMUNICATION_ERROR for errors in collecting data from the control units, VEHICLE_MANIPULATION_DETECTED if vehicle tampering has been detected and MANUFACTURER_EXCLUDED if the vehicle manufacturer is excluded from the OBFCM* collection (e.g. Alpina, Toyota Supra).",Vehicle Info,OBFCM last transfer state,,,vehicle.​channel.​ista.​obfcm.​lastTransmissionStatus,string,"OK, ECU_COMMUNICATION_ERROR, VEHICLE_MANIPULATION_DETECTED, MANUFACTURER_EXCLUDED",-,,,,"""vehicle.​channel.​ista.​obfcm.​lastTransmissionStatus"": ""Vehicle Info OBFCM last transfer state"",",,"""vehicle.​channel.​ista.​obfcm.​lastTransmissionStatus"": ""Vehicle Info OBFCM last transfer state"","
134,Date and time in vehicle,These values indicate the time shown in the vehicle at the time of recording the data.,Vehicle Info,Time in vehicle,,,vehicle.​channel.​ngtp.​timeVehicle,string,00:00 to 23:59 or 12:00 am to 11:59 pm,-,,,,"""vehicle.​channel.​ngtp.​timeVehicle"": ""Vehicle Info Time in vehicle"",",,"""vehicle.​channel.​ngtp.​timeVehicle"": ""Vehicle Info Time in vehicle"","
136,Automatic Teleservice Call,This value indicates at what time an Automatic Service Call (ASC) was initiated by the vehicle.,Teleservice,Automatic service call time,,,vehicle.​channel.​teleservice.​lastAutomaticServiceCallTime,string,dd.mm.yyyy hh:mm UTC or mm/dd/yyyy hh:mm UTC,-,,,,"""vehicle.​channel.​teleservice.​lastAutomaticServiceCallTime"": ""Teleservice Automatic service call time"",",,"""vehicle.​channel.​teleservice.​lastAutomaticServiceCallTime"": ""Teleservice Automatic service call time"","
137,Last teleservice breakdown call time,"Auto break down. The Breakdown Call allows the customer to contact a Roadside Assistance Call Center (RSA CC) Agent in case of a breakdown, which will assist the driver with troubleshooting or towing of the vehicle. The Breakdown Call allows the customer to contact a Roadside Assistance Call Center (RSA CC) Agent in case of a breakdown, which will assist the driver with troubleshooting or towing of the vehicle. The service can be started from the iDrive menu of the vehicle and is available in 3 Levels depending on availability and roll-out in the market.",Teleservice,Breakdown call time,,,vehicle.​channel.​teleservice.​lastBreakdownCallTime,string,-,-,,,,"""vehicle.​channel.​teleservice.​lastBreakdownCallTime"": ""Teleservice Breakdown call time"",",,"""vehicle.​channel.​teleservice.​lastBreakdownCallTime"": ""Teleservice Breakdown call time"","
138,Last teleservice manual call time,Customer triggers a manual service call via the vehicle HMI (iDrive). Service relevant data is transferred by the vehicle to the Teleservices backend systemA new Teleservice ticket is created and assigned to customer's preferred service partner.The Teleservice ticket is transferred to the service partner system to process it according to the respective business process,Teleservice,Manual service call time,,,vehicle.​channel.​teleservice.​lastManualCallTime,string,-,-,,,,"""vehicle.​channel.​teleservice.​lastManualCallTime"": ""Teleservice Manual service call time"",",,"""vehicle.​channel.​teleservice.​lastManualCallTime"": ""Teleservice Manual service call time"","
139,Teleservice report,"This value indicates at what time the teleservice report call was initiated by the vehicle. The vehicle collects measured values or error data for the teleservice report call, and automatically sends them according to defined cycles.",Teleservice,report time,,,vehicle.​channel.​teleservice.​lastTeleserviceReportTime,string,dd.mm.yyyy hh:mm:ss UTC,-,,,,"""vehicle.​channel.​teleservice.​lastTeleserviceReportTime"": ""Teleservice report time"",",,"""vehicle.​channel.​teleservice.​lastTeleserviceReportTime"": ""Teleservice report time"","
140,Availability of teleservices,This value indicates whether teleservices are available for this vehicle.,Teleservice,availability state,,,vehicle.​channel.​teleservice.​status,string,"PENDING, IDLE, SUCCESSFUL, ERROR",-,,,,"""vehicle.​channel.​teleservice.​status"": ""Teleservice availability state"",",,"""vehicle.​channel.​teleservice.​status"": ""Teleservice availability state"","
142,"Measured tyre pressure, front left",This value indicates the measured tyre pressure on the front left in kPa,Tire,pressure (front left),,,vehicle.​chassis.​axle.​row1.​wheel.​left.​tire.​pressure,uint16,0-1000 kPa or -NA-,kPa,,,,"""vehicle.​chassis.​axle.​row1.​wheel.​left.​tire.​pressure"": ""Tire pressure (front left)"",",,"""vehicle.​chassis.​axle.​row1.​wheel.​left.​tire.​pressure"": ""Tire pressure (front left)"","
143,"Target tyre pressure, front left",This value indicates the target tyre pressure on the front left in kPa.,Tire,pressure target (front left),,,vehicle.​chassis.​axle.​row1.​wheel.​left.​tire.​pressureTarget,uint16,0-1000 kPa or -NA-,kPa,,,,"""vehicle.​chassis.​axle.​row1.​wheel.​left.​tire.​pressureTarget"": ""Tire pressure target (front left)"",",,"""vehicle.​chassis.​axle.​row1.​wheel.​left.​tire.​pressureTarget"": ""Tire pressure target (front left)"","
144,"Tire temperature in Celsius, front left",Tire temperature in Celsius on the front left.,Tire,temperature (front left),,,vehicle.​chassis.​axle.​row1.​wheel.​left.​tire.​temperature,float,0 °C to 50 °C,Celsius,,,,"""vehicle.​chassis.​axle.​row1.​wheel.​left.​tire.​temperature"": ""Tire temperature (front left)"",",,"""vehicle.​chassis.​axle.​row1.​wheel.​left.​tire.​temperature"": ""Tire temperature (front left)"","
145,"Measured tyre pressure, front right",This value indicates the measured tyre pressure on the front right in kPa.,Tire,pressure (front right),,,vehicle.​chassis.​axle.​row1.​wheel.​right.​tire.​pressure,uint16,0-1000 kPa or -NA-,kPa,,,,"""vehicle.​chassis.​axle.​row1.​wheel.​right.​tire.​pressure"": ""Tire pressure (front right)"",",,"""vehicle.​chassis.​axle.​row1.​wheel.​right.​tire.​pressure"": ""Tire pressure (front right)"","
146,"Target tyre pressure, front right",This value indicates the target tyre pressure on the front right in kPa.,Tire,pressure target (front right),,,vehicle.​chassis.​axle.​row1.​wheel.​right.​tire.​pressureTarget,uint16,0-1000 kPa or -NA-,kPa,,,,"""vehicle.​chassis.​axle.​row1.​wheel.​right.​tire.​pressureTarget"": ""Tire pressure target (front right)"",",,"""vehicle.​chassis.​axle.​row1.​wheel.​right.​tire.​pressureTarget"": ""Tire pressure target (front right)"","
147,"Tire temperature in Celsius, front right",Tire temperature in Celsius on the front right.,Tire,temperature (front right),,,vehicle.​chassis.​axle.​row1.​wheel.​right.​tire.​temperature,float,0 °C to 50 °C,Celsius,,,,"""vehicle.​chassis.​axle.​row1.​wheel.​right.​tire.​temperature"": ""Tire temperature (front right)"",",,"""vehicle.​chassis.​axle.​row1.​wheel.​right.​tire.​temperature"": ""Tire temperature (front right)"","
148,"Measured tyre pressure, rear left",This value indicates the measured tyre pressure on the rear left in kPa.,Tire,pressure (rear left),,,vehicle.​chassis.​axle.​row2.​wheel.​left.​tire.​pressure,uint16,0-1000 kPa or -NA-,kPa,,,,"""vehicle.​chassis.​axle.​row2.​wheel.​left.​tire.​pressure"": ""Tire pressure (rear left)"",",,"""vehicle.​chassis.​axle.​row2.​wheel.​left.​tire.​pressure"": ""Tire pressure (rear left)"","
149,"Target tyre pressure, rear left",This value indicates the target tyre pressure on the rear left in kPa.,Tire,pressure target (rear left),,,vehicle.​chassis.​axle.​row2.​wheel.​left.​tire.​pressureTarget,uint16,0-1000 kPa or -NA-,kPa,,,,"""vehicle.​chassis.​axle.​row2.​wheel.​left.​tire.​pressureTarget"": ""Tire pressure target (rear left)"",",,"""vehicle.​chassis.​axle.​row2.​wheel.​left.​tire.​pressureTarget"": ""Tire pressure target (rear left)"","
150,"Tire temperature in Celsius, rear left",Tire temperature in Celsius on the rear left.,Tire,temperature (rear left),,,vehicle.​chassis.​axle.​row2.​wheel.​left.​tire.​temperature,float,0 °C to 50 °C,Celsius,,,,"""vehicle.​chassis.​axle.​row2.​wheel.​left.​tire.​temperature"": ""Tire temperature (rear left)"",",,"""vehicle.​chassis.​axle.​row2.​wheel.​left.​tire.​temperature"": ""Tire temperature (rear left)"","
151,"Measured tyre pressure, rear right",This value indicates the measured tyre pressure on the rear right in kPa.,Tire,pressure (rear right),,,vehicle.​chassis.​axle.​row2.​wheel.​right.​tire.​pressure,uint16,0-1000 kPa or -NA-,kPa,,,,"""vehicle.​chassis.​axle.​row2.​wheel.​right.​tire.​pressure"": ""Tire pressure (rear right)"",",,"""vehicle.​chassis.​axle.​row2.​wheel.​right.​tire.​pressure"": ""Tire pressure (rear right)"","
152,"Target tyre pressure, rear right",This value indicates the target tyre pressure on the rear right in kPa.,Tire,pressure target (rear right),,,vehicle.​chassis.​axle.​row2.​wheel.​right.​tire.​pressureTarget,uint16,0-1000 kPa or -NA-,kPa,,,,"""vehicle.​chassis.​axle.​row2.​wheel.​right.​tire.​pressureTarget"": ""Tire pressure target (rear right)"",",,"""vehicle.​chassis.​axle.​row2.​wheel.​right.​tire.​pressureTarget"": ""Tire pressure target (rear right)"","
153,"Tire temperature in Celsius, rear right",Tire temperature in Celsius on the rear right.,Tire,temperature (rear right),,,vehicle.​chassis.​axle.​row2.​wheel.​right.​tire.​temperature,float,0 °C to 50 °C,Celsius,,,,"""vehicle.​chassis.​axle.​row2.​wheel.​right.​tire.​temperature"": ""Tire temperature (rear right)"",",,"""vehicle.​chassis.​axle.​row2.​wheel.​right.​tire.​temperature"": ""Tire temperature (rear right)"","
154,Smart Maintenance: Digital tyre diagnostics,This value contains information about the tyres currently and previously installed on the vehicle. This data is collected by the vehicle and automatically sent according to defined cycles.,Tire,diagnostics,,,vehicle.​chassis.​axle.​wheel.​tire.​diagnosis,-,Details can be found in the corresponding Swagger documentation: ../smartMaintenanceTyreDiagnosis,-,,,,"""vehicle.​chassis.​axle.​wheel.​tire.​diagnosis"": ""Tire diagnostics"",",,"""vehicle.​chassis.​axle.​wheel.​tire.​diagnosis"": ""Tire diagnostics"","
156,Average electric consumption,This value indicates the average electric consumption in [kWh/100 km or mi/kWh] at the time of data collection. Note: Not available for the models i3 and i8.,Range EV,Average electric consumption,,,vehicle.​drivetrain.​avgElectricRangeConsumption,float,"0 kWh/100 km to 100 kWh/100 km or 0,6213 mi/kWh to 62,1371 mi/kWh",-,,,,"""vehicle.​drivetrain.​avgElectricRangeConsumption"": ""Range EV Average electric consumption"",",,"""vehicle.​drivetrain.​avgElectricRangeConsumption"": ""Range EV Average electric consumption"","
158,High-voltage battery size,This value indicates the size of the installed high-voltage battery.,Battery HV,Max size,,,vehicle.​drivetrain.​batteryManagement.​batterySizeMax,float,"0 - 300 kWh, INVALID",kWh,,,,"""vehicle.​drivetrain.​batteryManagement.​batterySizeMax"": ""Battery HV Max size"",",,"""vehicle.​drivetrain.​batteryManagement.​batterySizeMax"": ""Battery HV Max size"","
159,Charging status of high-voltage battery,This value indicates the current charging status of the vehicle at the time of data collection.,Battery HV,Charging state,,,vehicle.​drivetrain.​batteryManagement.​header,float,0 % to 100 %,percent,,,,"""vehicle.​drivetrain.​batteryManagement.​header"": ""Battery HV Charging state"",",,"""vehicle.​drivetrain.​batteryManagement.​header"": ""Battery HV Charging state"","
160,Energy content of the high-voltage battery,This value indicates the current energy content of the high-voltage battery.,Battery HV,Energy content,,,vehicle.​drivetrain.​batteryManagement.​maxEnergy,float,"0 - 300 kWh, INVALID",kWh,,,,"""vehicle.​drivetrain.​batteryManagement.​maxEnergy"": ""Battery HV Energy content"",",,"""vehicle.​drivetrain.​batteryManagement.​maxEnergy"": ""Battery HV Energy content"","
162,AC charging current,This value indicates the maximum charging current for the most recent charging process in ampere (A) (only when charging with alternating current). Values between 0 and 25 are possible. Both the vehicle and charging station could be individually charged with a certain maximum charging current. The value displayed here is the greater of these two figures.,Charging EV,AC charging current,,,vehicle.​drivetrain.​electricEngine.​charging.​acAmpere,uint8,0 A to 25 A or -NA-,A,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​acAmpere"": ""Charging EV AC charging current"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​acAmpere"": ""Charging EV AC charging current"","
163,AC charging restriction factor,Response of ac restriction.,Charging EV,AC restriction factor,,,vehicle.​drivetrain.​electricEngine.​charging.​acRestriction.​factor,string,"MAXCHARGING, REDUCEDCHARGING, MINCHARGING",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​acRestriction.​factor"": ""Charging EV AC restriction factor"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​acRestriction.​factor"": ""Charging EV AC restriction factor"","
164,AC charging current limit and selection,The first value indicates whether the charging current used to charge the vehicle is limited. The second value describes the type of limit (reduced or minimum).,Charging EV,AC restriction selection,,,vehicle.​drivetrain.​electricEngine.​charging.​acRestriction.​isChosen,boolean,"NOTCHOSEN, CHOSEN, INVALID; MAXCHARGING, REDUCEDCHARGING, MINCHARGING, INVALID",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​acRestriction.​isChosen"": ""Charging EV AC restriction selection"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​acRestriction.​isChosen"": ""Charging EV AC restriction selection"","
165,AC charging voltage,"This value indicates the charging voltage for the most recent charging process (only when charging with alternating current). This value is usually in the region of 230 V. However, charging voltages may range from 0 to 300.",Charging EV,AC charging voltage,,,vehicle.​drivetrain.​electricEngine.​charging.​acVoltage,float,0 V to 300 V or -NA-,V,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​acVoltage"": ""Charging EV AC charging voltage"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​acVoltage"": ""Charging EV AC charging voltage"","
166,Charging authentication status,"Plug & Charge (Automatic Payment of Charging Services) authorization status of a charging session. ""AUTHORIZATION_SUCCESSFUL"" - Authentication with PlugAndCharge successful, ""TRANSPORT_LAYER_ERROR"" - TLS connection to EVSE not possible, ""HIGH_LEVEL_COMMUNICATION_ERROR"" - High Level communication with ISO15118 error, ""CONTRACT_SERVICE_NOT_SUPPORTED_ERROR"" - EVSE doesn't support Authentication via PlugAndCharge, ""AUTHORIZATION_TIMEOUT"" - Authorization run in an error, ""AUTHORIZATION_TIMEOUT"" - authentication not finished after 120s, ""NVM_READ_CERTIFICATE_ERROR"" - Certificates couldn't be red from Charging Control Unit storrage, ""CERTIFICATE_UPDATE_ERROR"" - update of contract via powerline failed, ""XML_SECURITY_ERROR"" - Schema validation error of transfered data.",Charging EV,Authentication state,,,vehicle.​drivetrain.​electricEngine.​charging.​authentication.​status,string,"AUTHORIZATION_SUCCESSFUL, TRANSPORT_LAYER_ERROR, HIGH_LEVEL_COMMUNICATION_ERROR, CONTRACT_SERVICE_NOT_SUPPORTED_ERROR, AUTHORIZATION_ERROR, AUTHORIZATION_TIMEOUT, NVM_READ_CERTIFICATE_ERROR, CERTIFICATE_UPDATE_ERROR, XML_SECURITY_ERROR",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​authentication.​status"": ""Charging EV Authentication state"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​authentication.​status"": ""Charging EV Authentication state"","
167,Charging mode,Current charging mode.,Charging EV,Charging mode,,,vehicle.​drivetrain.​electricEngine.​charging.​chargingMode,string,"NORMAL_PROGNOSE_BASED, STEP_BASED, PLC_MODE",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​chargingMode"": ""Charging EV Charging mode"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​chargingMode"": ""Charging EV Charging mode"","
168,Charging process of the high-voltage battery (inductive/conductive),This value indicates the charging process (CONDUCTIVE/INDUCTIVE) used to charge the vehicle at the time of data collection.,Charging EV,Charging connection type,,,vehicle.​drivetrain.​electricEngine.​charging.​connectionType,string,"CONDUCTIVE, INDUCTIVE, SIGNAL_INVALID",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​connectionType"": ""Charging EV Charging connection type"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​connectionType"": ""Charging EV Charging connection type"","
169,Charging connector status,"Current condition of charging plug across all types (inductive, conductive), modes (AC, DC) and service packs.",Charging EV,Connector state,,,vehicle.​drivetrain.​electricEngine.​charging.​connectorStatus,string,"CONNECTED, DISCONNECTED, ERROR",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​connectorStatus"": ""Charging EV Connector state"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​connectorStatus"": ""Charging EV Connector state"","
170,Total mains energy consumed while the combustion engine was inactive,This value indicates the total energy supplied using charging cables while the combustion engine was inactive (used e.g. by OBFCM*).,Charging EV,Energy supplied (engine off),,,vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOff.​gridEnergy,float,kWh,kWh,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOff.​gridEnergy"": ""Charging EV Energy supplied (engine off)"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOff.​gridEnergy"": ""Charging EV Energy supplied (engine off)"","
171,Reference distance for measuring the supplied mains energy while the combustion engine was inactive,This value indicates the reference distance for measuring the energy supplied using charging cables while the combustion engine was inactive (used e.g. by OBFCM*).,Charging EV,Reference distance (engine off),,,vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOff.​referenceDistance,float,0.0 km - 250000.0 km,km,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOff.​referenceDistance"": ""Charging EV Reference distance (engine off)"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOff.​referenceDistance"": ""Charging EV Reference distance (engine off)"","
172,Total mains energy consumed while the combustion engine was active,This value indicates the total energy supplied using charging cables while the combustion engine was active (used e.g. by OBFCM*).,Charging EV,Energy supplied (engine on),,,vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOn.​gridEnergy,float,kWh,kWh,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOn.​gridEnergy"": ""Charging EV Energy supplied (engine on)"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOn.​gridEnergy"": ""Charging EV Energy supplied (engine on)"","
173,Reference distance for measuring the supplied mains energy while the combustion engine was active,This value indicates the reference distance for measuring the energy supplied using charging cables while the combustion engine was active (used e.g. by OBFCM*).,Charging EV,Reference distance (engine on),,,vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOn.​referenceDistance,float,0.0 km - 250000.0 km,km,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOn.​referenceDistance"": ""Charging EV Reference distance (engine on)"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​engineOn.​referenceDistance"": ""Charging EV Reference distance (engine on)"","
174,Total mains energy supplied to the vehicle (PHEV only),This value indicates the total energy supplied using charging cables.,Charging EV,Energy supplied total,,,vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​overall.​gridEnergy,float,0.0 kWh - 30000.0 kWh,kWh,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​overall.​gridEnergy"": ""Charging EV Energy supplied total"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​overall.​gridEnergy"": ""Charging EV Energy supplied total"","
175,OBFCM* reference distance for measuring the supplied mains energy,This value indicates the reference distance for measuring the energy supplied using charging cables.,Charging EV,Reference distance total,,,vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​overall.​referenceDistance,float,0.0 km - 250000.0 km,km,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​overall.​referenceDistance"": ""Charging EV Reference distance total"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​consumptionOverLifeTime.​overall.​referenceDistance"": ""Charging EV Reference distance total"","
176,Reason for ending a charging process,This value indicates the reason why a charging process was ended.,Charging EV,Charging end reason,,,vehicle.​drivetrain.​electricEngine.​charging.​hvpmFinishReason,string,"UNKNOWN, CHARGING_GOAL_REACHED, END_REQUESTED_BY_DRIVER, CONNECTOR_REMOVED, POWERGRID_FAILED, HV_SYSTEM_FAILURE, CHARGING_STATION_FAILURE, PARKING_LOCK_FAILED, NO_PARKING_LOCK, SIGNAL_INVALID, INVALID",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​hvpmFinishReason"": ""Charging EV Charging end reason"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​hvpmFinishReason"": ""Charging EV Charging end reason"","
177,HV charging system status,Charging HV Status.,Charging EV,HV system state,,,vehicle.​drivetrain.​electricEngine.​charging.​hvStatus,string,"INVALID, CHARGING, ERROR, NOT_CHARGING, WAITING_FOR_CHARGING, FINISHED_FULLY_CHARGED, FINISHED_NOT_FULL",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​hvStatus"": ""Charging EV HV system state"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​hvStatus"": ""Charging EV HV system state"","
178,Immediate charging system reason,This parameter contains the information that customer selected charging mode is overwritten due to system reasons.,Charging EV,Immediate charging reason,,,vehicle.​drivetrain.​electricEngine.​charging.​isImmediateChargingSystemReason,boolean,"true, false",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​isImmediateChargingSystemReason"": ""Charging EV Immediate charging reason"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​isImmediateChargingSystemReason"": ""Charging EV Immediate charging reason"","
179,Instant charging function status,This value indicates whether the “instant charging” function is activated.,Charging EV,Instant charging state,,,vehicle.​drivetrain.​electricEngine.​charging.​isSingleImmediateCharging,boolean,"DIRECT_CHG_ONCE_NOT_ACTIVE, DIRECT_CHG_ONCE_ACTIVE, INVALID",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​isSingleImmediateCharging"": ""Charging EV Instant charging state"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​isSingleImmediateCharging"": ""Charging EV Instant charging state"","
180,Last charging reason,Reason of the last charging process.,Charging EV,Last charging reason,,,vehicle.​drivetrain.​electricEngine.​charging.​lastChargingReason,string,"CHARGING_GOAL_REACHED, END_REQUESTED_BY_DRIVER, CONNECTOR_REMOVED, POWERGRID_FAILED, HV_SYSTEM_FAILURE, CHARGING_STATION_FAILURE, PARKING_LOCK_FAILED, NO_PARKING_LOCK, INVALID, -NA-",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​lastChargingReason"": ""Charging EV Last charging reason"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​lastChargingReason"": ""Charging EV Last charging reason"","
181,Last charging result,Result of the last charging process.,Charging EV,Last charging result,,,vehicle.​drivetrain.​electricEngine.​charging.​lastChargingResult,string,"SUCCESS, FAILED, UNKNOWN",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​lastChargingResult"": ""Charging EV Last charging result"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​lastChargingResult"": ""Charging EV Last charging result"","
182,Current predicted charging status,This value indicates the current predicted charging status in percent.,Charging EV,Predicted charging state,,,vehicle.​drivetrain.​electricEngine.​charging.​level,float,0 % to 100 %,%,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​level"": ""Charging EV Predicted charging state"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​level"": ""Charging EV Predicted charging state"","
183,Charging method and plug type,"This value describes whether the vehicle was charged with direct current (DC) or alternating current (AC) and which charging plug was used for this purpose. The indicated technical value AC_TYPE1PLUG, for example, indicates that the high-voltage battery was charged in alternating current mode, making use of a charging plug of Type 1.",Charging EV,Charging method,,,vehicle.​drivetrain.​electricEngine.​charging.​method,string,"AC_TYPE1PLUG,AC_TYPE2PLUG, NOCHARGING",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​method"": ""Charging EV Charging method"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​method"": ""Charging EV Charging method"","
184,Charging mode deviation,This parameter contains the information of deviation to the customer selected charging mode due to system reasons.,Charging EV,Charging mode deviation,,,vehicle.​drivetrain.​electricEngine.​charging.​modeDeviation,string,"NO_DEVIATION, DC_DYNAMIC_MALIBU, DC_DYNAMIC_MIN_SOE_PROTECTION, IMMEDIATE_CHARGING_NOT_SUPPORTED_BY_EVSE, IMMEDIATE_CHARGING_WAKE_UP_LIMIT_REACHED, IMMEDIATE_CHARGING, CHARGING_TIMESLOT, CHARGING_IN_TIMESLOT, SMART_CHARGING, DC_DYNAMIC, BIDIRECTIONAL_CHARGING, NO_ACTION, UNKNOWN",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​modeDeviation"": ""Charging EV Charging mode deviation"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​modeDeviation"": ""Charging EV Charging mode deviation"","
185,Charging process of the high-voltage battery (phases),This value indicates the number of phases in which the high-voltage battery will be charged.,Charging EV,Charging phases,,,vehicle.​drivetrain.​electricEngine.​charging.​phaseNumber,string,"NO_CHARGING, 1-PHASES, 2-PHASES, 3-PHASES, INVALID",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​phaseNumber"": ""Charging EV Charging phases"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​phaseNumber"": ""Charging EV Charging phases"","
186,Climatization active,"Climatization Activation of Vehicle in Charging Profile, vehicle interior gets preconditioned for next departure time.",Charging EV,Climatization active,,,vehicle.​drivetrain.​electricEngine.​charging.​profile.​climatizationActive,boolean,"true, false",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​climatizationActive"": ""Charging EV Climatization active"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​climatizationActive"": ""Charging EV Climatization active"","
187,RCP config complete,"Vehicles with a complete RCP (Remote Charging Profile) Configuration explicitly send values for all charging profile attributes. For Vehicles without a complete RCP Configuration, some defaults are applied.",Charging EV,RCP config complete,,,vehicle.​drivetrain.​electricEngine.​charging.​profile.​isRcpConfigComplete,boolean,"true, false",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​isRcpConfigComplete"": ""Charging EV RCP config complete"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​isRcpConfigComplete"": ""Charging EV RCP config complete"","
188,Charging profile,"The charging profile provides information about the charging mode most recently selected for your vehicle. Where appropriate, CarData element may also be used to display individual attributes in cars without an electric drive, e.g. the preconditioning settings.",Charging EV,Charging profile,,,vehicle.​drivetrain.​electricEngine.​charging.​profile.​mode,string,The XML structure is appended at the end of the table (1).,-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​mode"": ""Charging EV Charging profile"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​mode"": ""Charging EV Charging profile"","
189,Charging profile preference,"Charging preference of current charging profile. This value depends on charge mode selection. For Vehicle.ElectricEngine.Charging.Profile.Mode being ""DELAYED_CHARGING"", Vehicle.ElectricEngine.Charging.Profile.Preference is either ""SMART_CHARGING"" or ""CHARGING_WINDOW"". In case Vehicle.ElectricEngine.Charging.Profile.Mode is ""IMMEDIATE_CHARGING"", Vehicle.ElectricEngine.Charging.Profile.Preference is set to ""NO_PRESELECTION"".",Charging EV,Charging preference,,,vehicle.​drivetrain.​electricEngine.​charging.​profile.​preference,string,"CHARGING_WINDOW, SMART_CHARGING, NO_PRESELECTION",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​preference"": ""Charging EV Charging preference"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​preference"": ""Charging EV Charging preference"","
190,Departure time relevant,Information if the upcoming departure time is relevant for the professional mode (bidirectional/unidirectional) and the target state of energy shall be reached at this time.,Charging EV,Departure time relevant,,,vehicle.​drivetrain.​electricEngine.​charging.​profile.​settings.​biDirectionalCharging.​departureTimeRelevant,boolean,"true, false",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​settings.​biDirectionalCharging.​departureTimeRelevant"": ""Charging EV Departure time relevant"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​settings.​biDirectionalCharging.​departureTimeRelevant"": ""Charging EV Departure time relevant"","
